timestamp,food,confidence,salt_content

2025-04-24 19:49:30,rice,0.66,0.10
2025-04-24 19:49:50,bread,1.00,0.50
2025-04-24 19:50:26,rice,0.73,0.10
2025-04-24 20:05:29,bread,0.93,0.50
2025-04-24 20:05:51,pasta,0.86,0.30
2025-04-24 20:06:14,rice,0.92,0.10
2025-04-24 20:06:54,rice,0.91,0.10
